movieId,userId,rating,timestamp,label,releaseYear,movieGenre1,movieGenre2,movieGenre3,movieRatingCount,movieAvgRating,movieRatingStddev,userRatedMovie1,userRatedMovie2,userRatedMovie3,userRatedMovie4,userRatedMovie5,userRatingCount,userAvgReleaseYear,userReleaseYearStddev,userAvgRating,userRatingStddev,userGenre1,userGenre2,userGenre3,userGenre4,userGenre5
514,10096,3.0,954365410,0,1994,Comedy,"","",1038,3.50,0.86,858,"","","","",2,1982,14.85,3.50,0.71,Crime,Drama,"","",""
608,10351,5.0,851791281,1,1996,Comedy,Crime,Drama,9505,4.09,0.93,6,1,32,25,"",5,1995,0.45,3.80,0.45,Thriller,Action,Sci-Fi,Romance,Adventure
52,10351,4.0,851791305,1,1995,Comedy,Drama,Romance,2033,3.54,0.91,608,6,1,32,25,7,1995,0.53,3.86,0.69,Thriller,Crime,Drama,Comedy,Action
832,10351,3.0,851791379,0,1996,Crime,Thriller,"",3052,3.44,0.92,26,58,52,608,6,13,1995,0.65,3.77,0.73,Drama,Comedy,Thriller,Romance,Crime
296,10351,3.0,851792204,0,1994,Comedy,Crime,Drama,14616,4.17,0.98,582,103,30,26,58,23,1995,0.75,3.57,0.66,Drama,Comedy,Thriller,Romance,Crime
223,10436,4.5,1244448270,1,1994,Comedy,"","",5102,3.86,0.97,919,1,60,107,661,5,1984,25.27,4.50,0.35,Adventure,Children,Fantasy,Musical,Comedy
260,10436,5.0,1244448500,1,1977,Action,Adventure,Sci-Fi,11958,4.19,0.91,223,919,1,60,107,6,1985,22.96,4.50,0.32,Adventure,Children,Fantasy,Musical,Comedy
899,10436,4.0,1254723905,1,1952,Comedy,Musical,Romance,2221,4.08,0.95,260,223,919,1,60,7,1984,21.22,4.57,0.35,Adventure,Children,Fantasy,Musical,Comedy
39,10436,4.5,1254724710,1,1995,Comedy,Romance,"",5741,3.42,0.98,34,500,367,736,595,20,1988,15.28,4.30,0.44,Adventure,Comedy,Children,Musical,Fantasy
172,1090,2.0,1117852516,0,1995,Action,Sci-Fi,Thriller,2722,2.70,1.03,"","","","","",6,1994,1.05,1.50,0.63,"","","","",""
986,1090,5.0,1118303261,1,1996,Adventure,Children,"",616,3.50,0.97,919,597,356,"","",12,1989,15.95,2.50,1.64,Romance,Comedy,Adventure,Musical,Fantasy
296,11078,4.0,1286031630,1,1994,Comedy,Crime,Drama,14616,4.17,0.98,20,232,"","","",2,1994,0.71,3.75,0.35,Drama,Comedy,Action,Thriller,Romance
47,11078,4.0,1286031902,1,1995,Mystery,Thriller,"",9335,4.06,0.87,50,608,1,150,457,14,1994,1.28,3.57,0.70,Thriller,Crime,Drama,Comedy,Adventure
628,11078,3.5,1286031917,1,1996,Crime,Drama,Mystery,2458,3.74,0.83,47,50,608,1,150,15,1994,1.24,3.60,0.69,Thriller,Crime,Drama,Comedy,Adventure
588,11078,4.0,1286033647,1,1992,Adventure,Animation,Children,8980,3.67,0.92,380,527,922,628,47,19,1992,10.25,3.61,0.61,Thriller,Drama,Crime,Comedy,Romance
480,11332,3.0,940521580,0,1993,Action,Adventure,Sci-Fi,13033,3.67,0.93,32,589,"","","",2,1993,2.83,4.00,0.00,Sci-Fi,Action,Thriller,Mystery,""
782,11563,4.0,1217542741,1,1996,Drama,Thriller,"",604,2.89,0.94,147,382,"","","",2,1994,0.71,3.75,0.35,Drama,Thriller,Romance,Horror,""
367,11563,2.0,1217545891,0,1994,Action,Comedy,Crime,7577,3.16,1.00,150,292,231,597,364,40,1993,3.95,3.26,1.42,Drama,Thriller,Adventure,Action,Comedy
32,1159,5.0,1018347051,1,1995,Mystery,Sci-Fi,Thriller,9694,3.89,0.86,541,750,924,648,480,22,1979,18.83,4.32,0.95,Thriller,Action,Sci-Fi,Adventure,Crime
904,1159,5.0,1018347152,1,1954,Mystery,Thriller,"",3845,4.25,0.77,903,32,541,750,924,24,1979,18.82,4.38,0.92,Thriller,Action,Sci-Fi,Mystery,Adventure
745,1159,5.0,1018347336,1,1995,Animation,Children,Comedy,2625,4.16,0.91,908,904,903,32,541,26,1977,19.11,4.42,0.90,Thriller,Action,Mystery,Sci-Fi,Adventure
1,1159,5.0,1018347521,1,1995,Adventure,Animation,Children,10759,3.91,0.89,608,593,745,908,904,29,1979,18.77,4.48,0.87,Thriller,Action,Mystery,Sci-Fi,Crime
616,1159,5.0,1018347719,1,1970,Animation,Children,"",1726,3.38,0.93,741,594,720,1,608,33,1979,19.70,4.55,0.83,Thriller,Action,Sci-Fi,Adventure,Mystery
16,11722,3.5,1074385464,1,1995,Crime,Drama,"",3846,3.81,0.85,527,266,318,47,380,18,1993,1.09,3.92,0.62,Drama,Thriller,Adventure,Action,War
349,11722,4.5,1074385710,1,1994,Action,Crime,Drama,6309,3.64,0.81,151,16,527,266,318,20,1993,1.12,3.90,0.60,Drama,Action,Thriller,Adventure,War
608,11722,4.0,896826487,1,1996,Comedy,Crime,Drama,9505,4.09,0.93,17,733,628,196,293,44,1992,6.64,3.70,0.72,Drama,Thriller,Action,Adventure,Crime
32,11722,2.0,896826752,0,1995,Mystery,Sci-Fi,Thriller,9694,3.89,0.86,832,608,17,733,628,49,1992,6.36,3.63,0.80,Drama,Thriller,Action,Crime,Adventure
112,11722,2.0,896827004,0,1995,Action,Adventure,Comedy,2577,3.41,0.95,780,832,608,17,733,53,1993,6.16,3.58,0.85,Drama,Thriller,Action,Adventure,Crime
809,11722,3.0,896827747,0,1996,Action,Adventure,"",297,2.90,0.97,786,748,29,780,832,59,1993,5.88,3.56,0.85,Drama,Thriller,Action,Adventure,Crime
150,11888,3.0,845674236,0,1995,Adventure,Drama,IMAX,10324,3.86,0.86,380,296,"","","",3,1992,2.89,3.67,0.58,Thriller,Comedy,Action,Romance,Adventure
